brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
SGF11,kanjivaram,1596.0,8999.0,B0DF2ZBPZ7,,4.0,110.0,kanjivaram pure handloom soft silk saree with blouse piece
Sumaira Tex,kanjivaram,1799.0,6595.0,B0DF8PZ3P8,,3.5,27.0,sarees for paithani sarees 2024 saree sari sadi kanjivaram sarees kanjivaram silk saree
SGF11,kanjivaram,2487.0,8999.0,B0DQKTYS9S,,4.1,4.0,kanjivaram patola pure soft silk saree for with unstitched blouse piece
Avantika Fashion,kanjivaram,949.0,2499.0,B0FJ8T72B9,,,,pure kanjivaram soft silk saree banarasi style sarees for wedding with blouse piece
Sugathari,banarasi,499.0,2499.0,B0DWJT1PFG,,3.8,53.0,banarasi saree pure kanjivaram silk saree soft new ladies 2025 design wear pattu sarees latest sadi party sari collections with blouse piece (san pari-223)
Sugathari,banarasi,499.0,2299.0,B0CRYF7Z7J,,4.0,99.0,banarasi saree pure kanjivaram silk saree soft new ladies 2023 design wear pattu sarees latest cotton party sari collections with blouse piece for wedding sadi (sam pari s-3)
New Season,kanjivaram,1999.0,8999.0,B0G39N16TX,,,,kanjivaram pure soft silk saree with unstitched blouse piece
Glory Sarees,,499.0,3999.0,B099NT15H2,,4.0,583.0,glory sarees
MADHUHANSH,kanjivaram,1499.0,2999.0,B0DNQ7KZV2,,4.4,76.0,kanjivaram banarasi silk saree zari woven for festival wedding silk with rich pallu design sarees with unstitched blouse piece
Avantika Fashion,kanjivaram,405.0,2499.0,B0DCBYDYN1,,3.9,85.0,kanjivaram soft silk banarasi sarees with blouse piece
Rekha Maniyar,banarasi,1443.0,4999.0,B09MWF34QH,,4.1,686.0,women’s banarasi silk saree with unstitched blouse | woven zari floral foil print design | 5.5 m saree with 0.8 m blouse | festive & casual
SWORNOF,silk,999.0,3999.0,B0C3VHMRPH,,4.0,383.0,silk kanjivaram kanchipuram saree with blouse piece
SWORNOF,,999.0,4999.0,B0CZHTFXL7,,4.1,710.0,swornof
SWORNOF,,1999.0,4999.0,B0F93S1DZ6,,4.2,640.0,swornof
SWORNOF,,999.0,5000.0,B0D66M1D74,,4.2,304.0,swornof
WOMEN ELEGENCE,banarasi,649.0,2699.0,B0F66PYQZH,,4.0,63.0,banarasi silk saree with intricate gold zari weaving & unstitched blouse piece – traditional indian wedding attire
SGF11,kanjivaram,1698.0,5999.0,B0F837Z4Q1,,3.0,4.0,kanjivaram pure soft silk saree with blouse piece
Best seller,banarasi,449.0,1799.0,B0CDQD4CVS,,4.0,1900.0,trendy banarasi kanjivaram navy color art silk saree with blouse material
SWORNOF,silk,999.0,4999.0,B0FB32JPN7,,4.1,662.0,pure silk saree with blouse piece
Sugathari,banarasi,499.0,2299.0,B0DXQ5HRZN,,4.2,75.0,banarasi saree pure kanjivaram silk saree soft new ladies 2025 design wear pattu sarees latest sadi party sari collections with blouse piece (san pari-226)
