brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
STORIZE,,3999,4999,40248504,https://www.myntra.com/lehenga-choli/storize/storize-girls-embroidered-ready-to-wear-lehenga-/40248504/buy,,,STORIZE Ready to Wear Lehenga
Zeel Clothing,,5499,9999,39052013,https://www.myntra.com/lehenga-choli/zeel+clothing/zeel-clothing-embellished-sequinned-semi-stitched-lehenga--blouse-with-dupatta/39052013/buy,,,Zeel Clothing Semi-Stitched Lehenga Choli
SHAHUDI DESIGNER,,499,1499,38195664,https://www.myntra.com/lehenga-choli/shahudi+designer/shahudi-designer-girls-floral--printed-lehenga--choli/38195664/buy,2.8,14,SHAHUDI DESIGNER Girls Printed Lehenga Choli
KALINI,,989,2499,40011446,https://www.myntra.com/lehenga-choli/kalini/kalini-girls-embroidered-thread-work-ready-to-wear-lehenga--blouse-with-dupatta/40011446/buy,,,KALINI Girls Embroidery Lehenga Choli
ETHNIC PLUS,,2935,9999,36426760,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-printed-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/36426760/buy,4.3,42,ETHNIC PLUS Semi-Stitched Lehenga Set
RJ ONLINE,Silk,922,2499,35783120,https://www.myntra.com/lehenga-choli/rj+online/rj-online-embellished-silk-lehenga-choli/35783120/buy,4.3,50,RJ ONLINE Silk Lehenga Choli
pspeaches,,1291,7656,23179526,https://www.myntra.com/lehenga-choli/pspeaches/pspeaches-girls-printed-ready-to-wear-lehenga--blouse-with-dupatta/23179526/buy,4.5,508,pspeaches Ready to Wear Lehenga Blouse With Dupatta
ETHNIC PLUS,,2935,9999,39049889,https://www.myntra.com/lehenga-choli/ethnic+plus/ethnic-plus-embroidered-thread-work-semi-stitched-lehenga--blouse-with-dupatta/39049889/buy,,,ETHNIC PLUS Semi-Stitched Lehenga Choli
Sangria,,1483,5299,34923966,https://www.myntra.com/lehenga-choli/sangria/sangria-zari-embroidered-tie-up-neck-ready-to-wear-lehenga-choli/34923966/buy,4.4,7,Sangria Ready to Wear Lehenga Choli
JOVK DESIGN,,809,2999,39884662,https://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-tie-and-dye-ready-to-wear-lehenga--blouse-with-dupatta/39884662/buy,,,JOVK DESIGN Lehenga Blouse With Dupatta
LOOKNBOOK ART,,1839,5747,31289568,https://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-zari-work-ready-to-wear-lehenga--unstitched-blouse-with-dupatta/31289568/buy,4.2,264,LOOKNBOOK ART Ready to Wear Lehenga Choli
Moda Rapido,,1299,4599,39216735,https://www.myntra.com/lehenga-choli/moda+rapido/moda-rapido-embroidered-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/39216735/buy,2.2,20,Moda Rapido Women Lehenga Choli
