brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
DHVIJA FASHION,,3961,3999,39976198,https://www.myntra.com/kurta-sets/dhvija+fashion/dhvija-fashion-women-floral-printed-regular-kurta-with-palazzos--with-dupatta/39976198/buy,1.5,6,DHVIJA FASHION disgner anarkali suit
Anouk,Cotton,1710,5899,39326589,https://www.myntra.com/kurta-sets/anouk/anouk-women-regular-thread-work-pure-cotton-kurta-with-pyjamas--with-dupatta/39326589/buy,,,Anouk Pure Cotton Schiffly Kurta Set
Ecolors Fab,,1457,7999,39655198,https://www.myntra.com/kurta-sets/ecolors+fab/ecolors-fab-women-floral-embroidered-regular-thread-work-chanderi-cotton-kurta-with-trousers--with-dupatta/39655198/buy,4.3,6,Ecolors Fab White Kurta Sets
Shivaradhya Designers,Cotton,765,2750,32336543,https://www.myntra.com/kurta-sets/shivaradhya+designers/shivaradhya-designers-floral-printed-panelled-pure-cotton-a-line-kurta-with-trouser/32336543/buy,4.1,11,Shivaradhya Designers Pure Cotton Kurta With Trouser
Sangria,,1612,6449,30271857,https://www.myntra.com/kurta-sets/sangria/sangria-blue-floral-embroidered-notch-neck-straight-kurta-with-trouser--dupatta/30271857/buy,4.4,364,Sangria Embroidered Kurta Set
Aarika,,1118,3629,40221946,https://www.myntra.com/kurta-sets/aarika/aarika-women-ethnic-motifs-embroidered-regular-thread-work-pure-wool-kurta-with-trousers--with-dupatta/40221946/buy,,,Aarika Women Embroidered Kurta with Trousers With Dupatta
Aumira,Cotton,999,4999,39076288,https://www.myntra.com/kurta-sets/aumira/aumira-women-ethnic-motifs-embroidered-regular-thread-work-pure-cotton-kurta-with-trousers--with-dupatta/39076288/buy,3.2,228,Aumira Women Cotton Kurta Set
Sangria,,1714,4899,31846515,https://www.myntra.com/kurta-sets/sangria/sangria-embroidered-pure-cotton-kurta--trouser-/31846515/buy,4.2,16,Sangria Embroidered Kurta & Trouser
D.A.Kurtis.,,1299,3999,39663310,https://www.myntra.com/kurta-sets/d.a.kurtis./dakurtis-women-ethnic-motifs-regular-kurta-with-palazzos/39663310/buy,,,D.A.Kurtis. Printed Kurta Pant Set
Fabinn,,999,3499,38059784,https://www.myntra.com/kurta-sets/fabinn/fabinn-women-floral-embroidered-regular-thread-work-pure-cotton-kurta-with-trousers--with-dupatta/38059784/buy,3,134,Fabinn Women Embroidered Kurta with Trousers With Dupatta
Anouk,,1517,4599,39127963,https://www.myntra.com/kurta-sets/anouk/anouk-women-ethnic-motifs-printed-panelled-pure-cotton-kurta-with-trousers--with-dupatta/39127963/buy,4.4,62,Anouk Women Printed Kurta with Trousers With Dupatta
KALINI,,779,1499,40243668,https://www.myntra.com/kurta-sets/kalini/kalini-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/40243668/buy,,,KALINI Women Embroidered Kurta with Trousers With Dupatta
