brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
TOPLOT,,599,2599,B0DXF9QV53,https://www.amazon.in/TOPLOT-ord-Women-Stylish-Block-Coord-5234-Teal-M/dp/B0DXF9QV53/ref=sr_1_216,3.9,,Kurta Sets for Woman || Co ord Set for Women Stylish || Kurti Set for Woman || Western Pair (5234)
ANNI DESIGNER,Cotton,799,2599,B0FLQG5GQF,https://www.amazon.in/ANNI-DESIGNER-Embroidery-IDIA-Maroon_XL_Maroon_X-Large/dp/B0FLQG5GQF/ref=sr_1_217,3.3,,"Pure Cotton Kurta Set for Women with Dupatta | Embroidered Straight Kurta Pant Set | Soft Cotton Ethnic Wear for Casual, Office & Festive"
VredeVogel,Cotton,716,4999,B0CMH8DQ82,https://www.amazon.in/VredeVogel-Jacquard-Designed-Banarasi-Teal_Large/dp/B0CMH8DQ82/ref=sr_1_218,4,,Women's Cotton Silk Jacquard Kurta Pant Set with Banarasi Silk Dupatta
Yashika,Cotton,599,2599,B0F8VHSNCD,https://www.amazon.in/Yashika-Regular-Printed-AZ-YS-OG-KS2207-YELLOW-2XL/dp/B0F8VHSNCD/ref=sr_1_219,2.7,,Women's Cotton Blend Trendy Regular Fit Solid Printed Kurti with Bottom |Kurti Set for Women
SIRIL,Rayon,769,3899,B0DTK24H2M,https://www.amazon.in/SIRIL-Printed-Straight-Dupatta-164KBD1764-4XL_Dusty/dp/B0DTK24H2M/ref=sr_1_220,4,,Women's Rayon Blend Floral Printed Straight Kurta Pant with Dupatta Set
Janasya,Cotton,549,1998,B0DJ5NF3YR,https://www.amazon.in/Janasya-Womens-Printed-Straight-XLB24KR00645-6XL/dp/B0DJ5NF3YR/ref=sr_1_221,3.9,,Women's Plus Size Pure Cotton Floral Printed Straight Kurta
Rangnavi,,729,2499,B0F5RVPZR8,https://www.amazon.in/Rangnavi-Womens-Printed-Stright-Dupatta/dp/B0F5RVPZR8/ref=sr_1_222,4,,Women's Floral Printed Stright Kurta with Pant & Dupatta Set | Ethnic set | Kurta set
Royal Export,Silk,870,4899,B0F1DHMHHQ,https://www.amazon.in/Royal-Export-RX60-Black-KPD-S/dp/B0F1DHMHHQ/ref=sr_1_223,4.1,,Women's Viscose Silk Floral Embroidered Straight Kurta Pant with Dupatta
ANNI DESIGNER,Cotton,699,2599,B0F8ZR2Y6J,https://www.amazon.in/ANNI-DESIGNER-Viscose-Straight-Mustard_M_Mustard_Medium/dp/B0F8ZR2Y6J/ref=sr_1_224,3.2,,Women's Pure Cotton Hand Block Print Kurti Pant Dupatta Set for Women | Ethnic Suit Set |Printed Suit Set| Stylish Kurta Set|Soft Cotton Dress Set|3 Piece Kurta Set for Ladies
Bee M Pee Designer,Rayon,799,2499,B0FLKHXC1T,https://www.amazon.in/Bee-Pee-Designer-Short-Embroidered/dp/B0FLKHXC1T/ref=sr_1_225,4.6,,Rayon Paisley Regular Short Kurti for Women Tunics Latest
SIRIL,,779,3299,B0DTKCN8YJ,https://www.amazon.in/SIRIL-Taffeta-Printed-Dupatta-103KBD1125-3XL_Rama/dp/B0DTKCN8YJ/ref=cs_sr_dp,3.9,,+1 other color/pattern
SAADAA,Linen,854,999,B0FPFYMDRV,https://www.amazon.in/SAADAA-Stylish-Comfortable-Everyday-Breathable/dp/B0FPFYMDRV/ref=sr_1_227,4.5,,"Airy Linen Mid Thigh Length Kurta for Women | Stylish Split Neck, 3/4 Sleeves & Side Pockets | Comfortable Everyday Wear Kurta | Breathable Fabric |"
PARTHVI,,949,2997,B0DQTRL6MH,https://www.amazon.in/PARTHVI-Printed-Anarkali-Dupatta-5X-Large/dp/B0DQTRL6MH/ref=cs_sr_dp,4,,+1 other color/pattern
ANNI DESIGNER,Rayon,684,2599,B0F8P4LKRZ,https://www.amazon.in/ANNI-DESIGNER-Anarkali-SITAPATI-YELLOW-VKS03_M_Yellow_Medium/dp/B0F8P4LKRZ/ref=sr_1_229,3,,Women's Rayon Viscose Anarkali Solid Kurta with Pant & Dupatta
Yashika,Cotton,599,2999,B0FRM6GQ95,https://www.amazon.in/Yashika-Printed-Straight-Set_AZ-YS-KS2207-YELLOW-CG1-XXL/dp/B0FRM6GQ95/ref=sr_1_230,2.8,,Regular Women's Cotton Blend Floral with Pant Kurta Ethnic Set
GRECIILOOKS,Rayon,689,2299,B0DY7PW39J,https://www.amazon.in/GRECIILOOKS-Viscose-Straight-GL-K2773-P195-S-BLACK/dp/B0DY7PW39J/ref=sr_1_231,3.8,,Kurta Sets for Women | Kurta Sets | Co-Ord Set for Women Ethnic | Women's Rayon Viscose Straight Printed Kurta with Pant (GL-K2773&P195-S-BLACK)
ANNI DESIGNER,Rayon,589,2599,B0FWK62KBY,https://www.amazon.in/ANNI-Designer-Embroidery-AMLYA-BLACK-VKS04_S_Black_Small/dp/B0FWK62KBY/ref=sr_1_232,,,"Women's Black Rayon Viscose Anarkali Floral Embroidery Kurta – Elegant Sleeveless Long Kurta for Women, Stylish Outfit"
Sun Fashion And Lifestyle,,582,1999,B0DTKHFWVQ,https://www.amazon.in/Sun-Fashion-Lifestyle-Chanderi-KD3_Pink_XL/dp/B0DTKHFWVQ/ref=sr_1_233,4,,Women's Chanderi Straight Stitched Printed Kurti with Printed Organza Dupatta for Women
FIMS - Fashion is my style,Rayon,594,1299,B0FRM829BV,https://www.amazon.in/FIMS-Fashion-Backless-Criss-Cross-Sleeveless/dp/B0FRM829BV/ref=sr_1_234,3.5,,"Rayon Short Kurti for Women, Ethnic Printed, Black Sleeveless Kurtis, Summer Wear, Ideal Gift for Girls"
FABNEX,,434,4999,B0DRZY1J8G,https://www.amazon.in/FABNEX-Women-Printed-Kurtis-K-116-Yellow-2Xl/dp/B0DRZY1J8G/ref=sr_1_235,3.8,,kurta set for women | Women Kurta | Women Kurta Sets Kurtis | Women Kurta Pant Set | Women Kurta Pant Set Women (K-115-117)
GoSriKi,Rayon,661,2599,B0CTXG19VM,https://www.amazon.in/GoSriKi-Straight-Embroidered-Dupatta-Cream-KDV-GS_XXL_Cream_XX-Large/dp/B0CTXG19VM/ref=sr_1_236,3.9,,Women's Rayon Viscose Straight Embroidered Kurta with Pant & Dupatta
BLACK TEETAR,Cotton,494,1999,B0G7W1W88S,https://www.amazon.in/BLACK-TEETAR-Printed-Straight-Stylish/dp/B0G7W1W88S/ref=sr_1_237,4.8,,Women's Cotton Printed A-line Straight Short Kurti Stylish Latest Women's Top
SKYLEE,Crepe,660,1598,B0FBGLQRY1,https://www.amazon.in/SKYLEE-Womens-Printed-Dupatta-100KBD1095C-S_Black/dp/B0FBGLQRY1/ref=sr_1_238,3.8,,Women's Crepe Printed A-Line Kurta with Pant & Dupatta
GoSriKi,Silk,836,2599,B0DXKZJSLC,https://www.amazon.in/GoSriKi-Viscose-Straight-Embroidered-White-GS_3XL_White_XXX-Large/dp/B0DXKZJSLC/ref=sr_1_239,3.5,,Women's Silk Blend Straight Embroidered Kurta with Pant & Dupatta
GoSriKi,Rayon,799,2599,B0DXKYF5NR,https://www.amazon.in/GoSriKi-Viscose-Straight-SHRIHA-Multi-GS_4XL_Multicolor_XXXX-Large/dp/B0DXKYF5NR/ref=sr_1_240,3.1,,"Women’s Rayon-Viscose Straight Kurta Set with Multicolor Bandhej Print – 3/4 Sleeves, Calf-Length Kurta + Pant & Dupatta – Comfortable & Festive Ethnic Wear"
BAESD,Cotton,447,1799,37294653,https://www.myntra.com/kurtis/baesd/baesd-blue-ethnic-motifs-printed-full-sleeve-cotton-short-kurti-top/37294653/buy,4.2,,Cotton Short Kurti Top
Sangria,,588,1799,18890690,https://www.myntra.com/kurtis/sangria/sangria-blue-embroidered-detail-a-line-top/18890690/buy,4.2,,Embroidered Detail A-Line Top
FERANOID,Cotton,699,2999,26737164,https://www.myntra.com/kurtis/feranoid/feranoid-floral-printed-pure-cotton-kurti/26737164/buy,4.3,,Floral Printed Pure Cotton Kurti
Miaz Lifestyle,Cotton,596,1499,39959898,https://www.myntra.com/kurtis/miaz+lifestyle/miaz-lifestyle-floral-embroidered-chikankari-pure-cotton-chikankari-kurti/39959898/buy,,,Floral Embroidered Pure Cotton Kurti
QAZMI,,792,2499,28170602,https://www.myntra.com/kurtis/qazmi/qazmi-zahra-floral-kashmiri-aari-work-straight-kurti/28170602/buy,4.5,,Thread Work Straight Kurti
Hyba,,682,2599,39037683,https://www.myntra.com/kurtis/hyba/hyba-ethnic-motifs-embroidered-thread-work-pure-cotton-thread-work-kurti/39037683/buy,,,Embroidered Short Kurta
Anouk Mirage,Cotton,499,1999,39004866,https://www.myntra.com/kurtis/anouk+mirage/anouk-mirage-floral-printed-pure-cotton-kurti/39004866/buy,,,Floral Printed Pure Cotton Kurti
Sa Rasa,Cotton,412,2499,34951406,https://www.myntra.com/kurtis/sa+rasa/sa-rasa-floral-printed-cotton-v-neck-short-kurti/34951406/buy,4.2,,Floral Printed Cotton Kurti
LetsDressUp,,631,2338,26783686,https://www.myntra.com/kurtis/letsdressup/letsdressup-mandala-printed-shirt-collar-kaftan-kurti/26783686/buy,4,,Printed Kaftan Kurti
fusion by glitchez,,526,1699,36369594,https://www.myntra.com/kurtis/fusion+by+glitchez/fusion-by-glitchez-floral-printed-a-line-kurti/36369594/buy,4.4,,Floral Printed A-Line Kurti
Sangria,Cotton,840,1999,37141971,https://www.myntra.com/kurtis/sangria/sangria-printed-elegant-party-wear-pure-cotton-kurti-/37141971/buy,,,Printed Pure Cotton Kurti
ANUKRITIBYNIDHIFASHION,Cotton,469,1199,37294887,https://www.myntra.com/kurtis/anukritibynidhifashion/anukritibynidhifashion-women-floral-printed-v-neck-pure-cotton-kurti/37294887/buy,3.9,,Women Pure Cotton Kurti
Anouk,Cotton,589,2299,39792742,https://www.myntra.com/kurtis/anouk/anouk-botanical-printed-v-neck-pure-cotton-blend-empire-kurti/39792742/buy,,,Botanical Printed Pure Cotton Blend Kurti
BAESD,,447,1799,37294656,https://www.myntra.com/kurtis/baesd/baesd-women-floral-print-flared-sleeve-cotton-top/37294656/buy,4.2,,Floral Print Flared Sleeve Top
One Femme,,488,1700,30250760,https://www.myntra.com/kurtis/one+femme/one-femme-floral-printed-kurti/30250760/buy,4.1,,Floral Printed Kurti
fusion by glitchez,,526,1699,36369785,https://www.myntra.com/kurtis/fusion+by+glitchez/fusion-by-glitchez-floral-printed-a-line-kurti/36369785/buy,4.4,,Floral Printed A-Line Kurti
Clothi Fab,Cotton,570,1999,38983729,https://www.myntra.com/kurtis/clothi+fab/clothi-fab-floral-printed-pure-cotton-tiered-kurti/38983729/buy,,,Floral Printed Pure Cotton Kurti
Saree Swarg,,859,2250,23201038,https://www.myntra.com/kurtis/saree+swarg/saree-swarg-ethnic-motif-printed-straight-kurti/23201038/buy,4.1,,Printed Straight Kurti
FIIZA,,618,2590,40218502,https://www.myntra.com/kurtis/fiiza/fiiza-embroidered-v-neck-kaftan-kurti/40218502/buy,,,Embroidered Kaftan Kurti
Sangria,Cotton,598,998,34287380,https://www.myntra.com/kurtis/sangria/sangria-women-floral-printed-cotton-kurti/34287380/buy,3.6,,Women Printed Cotton Kurti
ANUKRITIBYNIDHIFASHION,Cotton,586,1599,34769000,https://www.myntra.com/kurtis/anukritibynidhifashion/anukritibynidhifashion-floral-printed-pure-cotton-kurti/34769000/buy,,,Floral Printed Pure Cotton Kurti
KALINI,,649,2599,32572801,https://www.myntra.com/kurtis/kalini/kalini-women-floral-printed-mandarin-collar-kurti/32572801/buy,4.2,,Floral Printed Kurti
Moda Rapido,,445,3197,36342909,https://www.myntra.com/kurtis/moda+rapido/moda-rapido-ethnic-motifs-woven-design-halter-neck-kurti/36342909/buy,4.6,,Ethnic Motifs Short Kurti
Anouk Rustic,,412,699,33664137,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-melange-effect-kurti/33664137/buy,4,,Melange Effect Kurti
SAICHA,,488,999,39168994,https://www.myntra.com/kurtis/saicha/saicha-floral-printed-v-neck-kurti/39168994/buy,3.7,,Floral Printed Kurti
QAZMI,,884,2499,33480844,https://www.myntra.com/kurtis/qazmi/qazmi-aari-work-viscose-rayon-full-sleeves-a-line-flared-kurti/33480844/buy,4.4,,Women Floral Embroidered Kurti
Anouk Rustic,,479,1199,33663400,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-floral-printed-mandarin-collar-pure-cotton-straight-kurti/33663400/buy,4.2,,Floral Printed Straight Kurti
Sangria,Cotton,485,3199,32753324,https://www.myntra.com/kurtis/sangria/sangria-printed-pure-cotton-tops/32753324/buy,4.3,,Printed Pure Cotton Tops
Deeps Fashion,,749,1499,38923859,https://www.myntra.com/kurtis/deeps+fashion/deeps-fashion-botanical-printed-square-neck-flared-sleeves-pure-cotton-kurti/38923859/buy,4.6,,Botanical Printed Kurti
Neemiya,,754,1999,36824960,https://www.myntra.com/kurtis/neemiya/neemiya-women-floral-embroidered-kurti/36824960/buy,,,Floral Embroidered Kurti
Anouk,,699,2199,30049183,https://www.myntra.com/kurtis/anouk/anouk-ethnic-motifs-embroidered-short-kurti/30049183/buy,4.3,,Ethnic Motifs Short Kurti
Rain & Rainbow,Cotton,803,1995,22241020,https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-notch-neck-floral-printed-sequinned-pure-cotton-a-line-kurti/22241020/buy,4.3,,Printed Cotton A-Line Kurti
LetsDressUp,,654,2338,26783698,https://www.myntra.com/kurtis/letsdressup/letsdressup-printed-shirt-collar-kaftan-kurti/26783698/buy,4,,Printed Kaftan Kurti
SZN,,750,3499,40020218,https://www.myntra.com/kurtis/szn/szn-ethnic-motifs-printed-v-neck-kurti/40020218/buy,,,Ethnic Motifs Printed Kurti
COTTON DUNIYA,Cotton,849,3499,39444825,https://www.myntra.com/kurtis/cotton+duniya/cotton-duniya-floral-printed-shirt-collar-chanderi-cotton-kurti/39444825/buy,,,Floral Printed Chanderi Cotton Kurti
Anouk Rustic,,419,999,35529608,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-floral-printed-v-neck-straight-kurti/35529608/buy,4.3,,Printed V-Neck Straight Kurti
MF ERA,,492,1999,39055206,https://www.myntra.com/kurtis/mf+era/mf-era-ethnic-motifs-printed-kurti/39055206/buy,,,Ethnic Motifs Printed Kurti
Sangria,,556,1999,33439446,https://www.myntra.com/kurtis/sangria/sangria-women-embroidered-round-neck-longline-tops/33439446/buy,4,,Round Neck Longline Tops
Anouk Rustic,,415,799,35547499,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-floral-print-kurti/35547499/buy,3.3,,Floral Print Kurti
Anouk,Cotton,599,1599,38836202,https://www.myntra.com/kurtis/anouk/anouk-floral-printed-pure-cotton-kurti/38836202/buy,4,,Women Pure Cotton Kurtis
BKApparels,Cotton,362,999,38931582,https://www.myntra.com/kurtis/bkapparels/bkapparels-ethnic-motifs-embroidered-v-neck-flared-sleeves-pure-cotton-kurti/38931582/buy,4,,Ethnic Motifs Embroidered Pure Cotton Kurti
Anouk Rustic,,415,799,35547224,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-floral-printed-v-neck-straight-kurti/35547224/buy,3.9,,Printed V-Neck Straight Kurti
Sacche Dhaage,,593,1998,36815655,https://www.myntra.com/kurtis/sacche+dhaage/sacche-dhaage-women-floral-printed-square-neck-short-kurti/36815655/buy,4.5,,Floral Printed Kurti
Rimeline,Cotton,684,2398,38414983,https://www.myntra.com/kurtis/rimeline/rimeline-ethnic-motifs-printed-square-neck-pure-cotton-kurti/38414983/buy,4.3,,Printed Pure Cotton Kurti
Anouk Rustic,,419,999,35529870,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-striped-short-kurti/35529870/buy,4,,Striped Short Kurti
KALINI,,568,1899,36716645,https://www.myntra.com/kurtis/kalini/kalini-floral-embroidered-pure-cotton-kurti/36716645/buy,4.4,,Floral Embroidered Kurti
fusion by glitchez,,543,1699,36369628,https://www.myntra.com/kurtis/fusion+by+glitchez/fusion-by-glitchez-ethnic-motifs-printed-v-neck-straight-kurti/36369628/buy,4.3,,Ethnic Motifs Printed Kurti
Anouk Rustic,,428,1099,36084075,https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-floral-embroidered-republic-day-kurti/36084075/buy,3.2,,Floral Embroidered Kurti
SZN,,799,3499,40021086,https://www.myntra.com/kurtis/szn/szn-floral-printed-v-neck-kurti/40021086/buy,,,Floral Printed Kurti
Sangria,,599,1699,34982712,https://www.myntra.com/kurtis/sangria/sangria-women-floral-printed-mandarin-collar-straight-pure-cotton-kurtis/34982712/buy,4.4,,Floral Printed Straight Kurtis
